t,x,u
3.509588311186094822e-01,9.577479496385652435e-01,-8.018312620299687665e-02
4.172992725696222927e-01,-6.908261204352632578e-01,4.049933408443195382e-01
6.800130690831940328e-02,6.690372986705839242e-01,-7.201489429376174423e-01
7.257273247927196191e-01,1.218217616256089819e-02,6.317079417253547158e-01
3.880886995136324513e-01,-3.007128435378871867e-01,8.255500684398112687e-01
4.764900403966777498e-01,9.522954187176106977e-01,-8.054931104883922277e-02
7.538093391447548974e-01,-8.970264149535309706e-01,8.146940330532473351e-02
3.170824833886298766e-02,6.178388455156771375e-01,-8.389536844459194453e-01
2.127264687372677487e-01,7.051822498234685543e-01,-5.236515139662104579e-01
2.132608867839512756e-01,-8.569117214134318594e-01,2.736521906040024765e-01
1.285901307793053672e-01,-9.038833642168275784e-01,2.177255232515618033e-01
3.606471236906372280e-02,3.294679005407492589e-01,-7.755510504547759032e-01
5.947132324710237006e-01,-3.489316721622524042e-01,6.491302588247908067e-01
7.570497500016650783e-01,6.513714140372650618e-02,-7.808477145551465659e-01
9.818973889689736056e-01,-9.875385689122750943e-01,-3.695675025857369025e-03
7.899438435820119730e-01,8.216731421709841943e-01,-1.712018559473463264e-01
8.435266318190538515e-01,-9.964066419703638822e-01,-7.724705369946046132e-03
5.902721321904280671e-01,-1.821275926434393622e-01,8.339413727847447833e-01
6.152017644006038122e-01,-7.603870767429277144e-02,8.923786432129003909e-01
6.170124044589052614e-01,4.344728431352200548e-01,-5.756592648307747861e-01
7.195354748121173261e-01,-3.262845079130243242e-01,6.028684122503389364e-01
9.562280016251534231e-02,9.840535476534943982e-01,-4.107165217739891516e-02
1.200510487450638930e-01,-1.847760330406154061e-01,7.073507717986862176e-01
4.122754967073259946e-01,9.241305271982493963e-01,-1.229462208279605423e-01
4.222857809882120117e-01,-3.502146197485904722e-01,8.028895457751809017e-01
5.257376880076489734e-01,9.392247078196256371e-01,-7.331017184192525904e-02
9.320712263335203529e-01,-3.783666943738237531e-01,4.621255588209962628e-01
2.946647744418766646e-01,4.231192539809434106e-01,-7.895652499914671552e-01
2.764124265790427470e-01,8.061052864578410748e-02,-6.245510518777287468e-01
1.256537763148994902e-01,6.217464813152471237e-01,-7.286472780824945206e-01
3.864468685757238564e-02,-6.523682346381673991e-01,7.756327596174356076e-01
4.359205689866598732e-01,-8.518230887622750824e-01,1.814208389886016737e-01
6.846222767747447424e-01,7.156324547084065291e-01,-2.949744712585002371e-01
9.887314336627707201e-01,-8.972947069191992142e-01,5.718010204700953170e-02
2.358667696262862767e-01,9.254674692141549031e-01,-1.261937825131859703e-01
1.944442702032933568e-02,-1.943200478673290377e-02,2.356601571115951310e-01
2.586191026079581734e-01,-5.982600367498993599e-01,6.215300800922742841e-01
5.352712992030730366e-01,4.681706811276553637e-03,8.062882952929608660e-01
9.094228667477635142e-01,-3.646266993583131555e-01,4.801715336358872710e-01
6.819325468984041017e-01,5.732117695955567527e-01,-4.144182676516546815e-01
6.230610884629975699e-01,5.925470792810141329e-01,-4.198734269913153572e-01
6.073438382225571086e-02,4.071565238077852200e-01,-8.866210962920719751e-01
8.014071761040741926e-02,-1.610110806774267544e-02,2.936655024918004564e-01
4.065066417977418745e-01,-5.998787917218377785e-01,5.248855126449163411e-01
9.535068863129197991e-01,-5.299557745450342860e-01,3.471320952442578656e-01
