t,x,y,u,v,p
1.230000000000000071e+01,7.080808080808080440e+00,-1.755102040816326481e+00,8.612906391066172951e-01,7.844409199953397693e-02,2.289342006657122536e-02
1.600000000000000000e+01,7.010101010101009500e+00,1.346938775510203801e+00,9.133683569512542899e-01,-2.227941948173421116e-01,-1.290937172719561123e-03
1.890000000000000213e+01,5.737373737373737015e+00,-1.673469387755102122e+00,1.161310931266463342e+00,1.683184532435089142e-01,-2.581805170215015904e-02
5.000000000000000000e+00,1.353535353535353591e+00,1.346938775510203801e+00,1.262257310241707176e+00,-4.548742560123618384e-02,-1.927607322385840871e-01
2.400000000000000355e+00,2.343434343434343425e+00,1.102040816326530503e+00,9.033927022331855738e-01,7.690889499793805706e-02,3.948319474287192293e-02
1.710000000000000142e+01,5.313131313131313149e+00,7.755102040816326259e-01,7.869044082884141256e-01,4.393701453351808728e-01,-3.743099198610172484e-02
7.000000000000000666e-01,2.484848484848484862e+00,-1.673469387755102122e+00,9.786546275148978458e-01,5.274902735127080106e-02,-1.698356648230193305e-02
2.000000000000000111e-01,2.343434343434343425e+00,1.755102040816326259e+00,1.168923962559500040e+00,-1.064222568817466408e-01,-9.484167731411635716e-02
1.210000000000000142e+01,3.404040404040403978e+00,-6.938775510204082675e-01,4.455584360596325788e-01,-3.426695004527973709e-01,1.054276984725742612e-03
1.230000000000000071e+01,3.686868686868686851e+00,-1.346938775510204245e+00,1.010369431471086266e+00,-2.067280268589385128e-01,2.985476503989087371e-02
1.530000000000000071e+01,4.818181818181818343e+00,-2.000000000000000000e+00,9.080050624663240644e-01,2.362809244922437282e-02,2.636589520757016969e-02
7.800000000000000711e+00,5.525252525252525082e+00,4.489795918367343042e-01,6.888253697694760591e-01,-3.733981240968011761e-01,-5.460179280947566327e-02
1.920000000000000284e+01,3.545454545454545414e+00,1.346938775510203801e+00,1.180722194515186008e+00,-2.176895562239429260e-01,-7.941724421515702903e-02
1.240000000000000036e+01,1.141414141414141437e+00,2.000000000000000000e+00,1.151646072256295561e+00,4.373822430379165072e-02,-8.284305114642051548e-02
3.000000000000000444e-01,3.191919191919192045e+00,2.000000000000000000e+00,1.054527127014863508e+00,-1.316496928042896475e-01,-3.682631018348460350e-02
1.640000000000000213e+01,5.949494949494948948e+00,-1.265306122448979664e+00,7.110357416696380106e-01,4.145556131934205468e-02,1.953132647413486148e-02
9.200000000000001066e+00,4.535353535353534582e+00,2.040816326530610070e-01,6.370726426168247247e-01,3.101305676617450713e-01,-1.953037343522306124e-01
2.000000000000000000e+00,4.676767676767676463e+00,-9.387755102040817867e-01,6.749805955231105159e-01,-3.128385175434797438e-01,7.001374919106855173e-03
5.900000000000000355e+00,4.818181818181818343e+00,-1.510204081632652962e+00,1.144636690003764112e+00,2.028925067889179035e-01,-3.672287713965971534e-02
1.010000000000000142e+01,7.929292929292929060e+00,4.081632653061229021e-02,7.110569811098222948e-01,-1.642287518892270592e-01,-1.315058945506628330e-01
1.400000000000000133e+00,1.212121212121212155e+00,-2.040816326530614511e-01,9.700528644254223509e-02,-2.481535358524625534e-01,-4.280854793820151327e-01
1.510000000000000142e+01,7.363636363636363313e+00,2.857142857142855874e-01,6.717176078102118364e-01,2.860049605615776203e-02,-9.829993148133581160e-02
1.750000000000000000e+01,3.333333333333333037e+00,-1.183673469387755084e+00,1.041117881286562685e+00,-1.925131578359167983e-01,-3.313825264416558371e-03
1.200000000000000000e+01,6.373737373737373701e+00,9.387755102040813426e-01,9.202985147468523142e-01,4.350164156762981738e-01,-6.533000272923872309e-02
1.000000000000000000e+00,3.050505050505050608e+00,1.265306122448979220e+00,1.223189008671370592e+00,-2.099203880105253994e-01,-1.162953628094276354e-01
1.450000000000000000e+01,4.040404040404039776e+00,-8.571428571428572063e-01,6.607231250043530402e-01,1.976961127507953220e-01,1.135782372789360310e-04
3.600000000000000089e+00,6.939393939393939448e+00,1.755102040816326259e+00,8.897027875440316480e-01,-1.149255108011557336e-01,1.856375815875728127e-02
1.010000000000000142e+01,7.575757575757575246e+00,-1.224489795918368706e-01,7.730125079720762127e-01,-4.265147947962269481e-01,-1.209182124849939866e-01
4.800000000000000711e+00,2.202020202020201989e+00,-1.428571428571428603e+00,1.116726261047900959e+00,-6.246273113652123926e-02,-2.847187180118352853e-02
1.110000000000000142e+01,5.878787878787878896e+00,5.306122448979588846e-01,8.307865949553371321e-01,4.576186276912002637e-01,-1.439920089193419406e-01
1.250000000000000000e+01,7.646464646464646187e+00,1.510204081632652962e+00,1.216771624894567916e+00,-9.950715562902094635e-02,-6.249034524167702831e-02
5.500000000000000000e+00,8.000000000000000000e+00,8.571428571428567622e-01,8.926000548588791661e-01,-3.300521289371839417e-01,-2.990953557777550550e-02
5.600000000000000533e+00,2.272727272727272485e+00,6.938775510204080454e-01,1.126570161409711446e+00,-3.073073402525910991e-01,-3.420244197418122467e-01
1.600000000000000089e+00,2.414141414141414366e+00,-8.571428571428572063e-01,9.734118479413998992e-01,3.931167895019900271e-01,-1.383745796558193408e-01
4.299999999999999822e+00,6.656565656565656575e+00,8.571428571428567622e-01,9.526132347807361178e-01,-3.605144572971243910e-01,-4.568364351700419240e-02
1.860000000000000142e+01,6.090909090909090828e+00,1.102040816326530503e+00,7.645908217396109041e-01,2.659002478814471160e-01,2.818785040289456967e-03
4.900000000000000355e+00,4.959595959595959336e+00,1.673469387755101678e+00,1.041739870816902780e+00,1.904040812140091465e-01,2.671398057066394147e-02
4.400000000000000355e+00,7.151515151515151381e+00,-1.428571428571428603e+00,9.318337131636679205e-01,-2.953238837394336347e-01,-3.916623325404352922e-03
1.370000000000000107e+01,3.616161616161615910e+00,1.020408163265305923e+00,1.254602796326422798e+00,-2.234835862867547984e-01,-1.432988352668686793e-01
1.400000000000000000e+01,7.010101010101009500e+00,-1.591836734693877542e+00,1.088600358876399721e+00,2.229647519238992515e-01,-1.707175052233128251e-02
1.920000000000000284e+01,2.060606060606060552e+00,1.265306122448979220e+00,1.141956662641145703e+00,7.233210472437312522e-02,-4.902645267373009763e-02
1.640000000000000213e+01,6.585858585858585634e+00,-1.591836734693877542e+00,7.997148215412532846e-01,-1.322074596159175663e-01,2.720914734424218634e-02
