t,x,y,u,v,p
1.860000000000000142e+01,5.808080808080807955e+00,-1.020408163265306145e+00,1.095074284774778528e+00,3.448944380083811545e-01,-7.259099491603281107e-02
1.480000000000000071e+01,2.414141414141414366e+00,1.265306122448979220e+00,9.014257971290484672e-01,-2.488060075358394102e-02,1.954206541345416409e-02
1.110000000000000142e+01,4.111111111111110716e+00,1.265306122448979220e+00,7.233546526837826285e-01,1.188393558436272660e-02,4.135200758363195145e-02
1.150000000000000000e+01,5.242424242424242209e+00,1.591836734693877098e+00,8.774426062107989477e-01,2.049153235234628667e-01,3.627428284329370367e-02
3.900000000000000355e+00,2.414141414141414366e+00,-8.571428571428572063e-01,1.026803832966451946e+00,-5.887733657641035234e-02,-1.829476426439889669e-01
3.400000000000000355e+00,4.323232323232323537e+00,1.918367346938775420e+00,1.191394817458944377e+00,8.110662306878757902e-03,-6.618675756893748277e-03
1.830000000000000071e+01,7.858585858585858119e+00,-1.020408163265306145e+00,7.335960221025138450e-01,-1.192667339828465956e-01,-5.887852454791024127e-03
6.000000000000000888e-01,1.282828282828282873e+00,-8.571428571428572063e-01,1.247049656965421027e+00,1.909381706145991953e-01,-3.756978067669440313e-01
5.300000000000000711e+00,3.898989898989898784e+00,-2.857142857142858094e-01,6.674390058095340805e-01,-1.289984523628073532e-01,-2.325712855761425668e-01
2.000000000000000111e-01,2.767676767676767291e+00,-6.122448979591836871e-01,2.452150539504887039e-01,5.852364362071547921e-02,8.848909651842875104e-03
1.750000000000000000e+01,1.070707070707070718e+00,-9.387755102040817867e-01,1.233888181140659235e+00,1.368070099170038412e-01,-3.263282955945709940e-01
1.400000000000000000e+01,3.828282828282828287e+00,9.387755102040813426e-01,1.203171630989823493e+00,-1.831863572217018177e-01,-1.604898846635819665e-01
6.100000000000000533e+00,1.848484848484848397e+00,2.040816326530610070e-01,-2.262482079295463286e-02,4.670842500429396860e-01,-2.653468672354664659e-01
1.130000000000000071e+01,6.090909090909090828e+00,1.836734693877550839e+00,1.227186678503157768e+00,4.924962137339722323e-02,-7.553866838697682710e-03
1.550000000000000000e+01,6.868686868686868507e+00,1.428571428571428381e+00,8.566924918668635813e-01,-1.703810550903451237e-01,8.481099291052448391e-03
1.100000000000000089e+00,7.858585858585858119e+00,-1.224489795918368706e-01,6.977851017922843679e-01,9.429311932934511531e-02,-1.215204224918263604e-01
9.000000000000000222e-01,4.252525252525252597e+00,1.224489795918364266e-01,7.325615655101551660e-01,-5.317332149878167824e-01,-8.518751457273970873e-02
9.200000000000001066e+00,5.949494949494948948e+00,-6.122448979591836871e-01,7.897599361623227621e-01,-4.604123616330024205e-01,-4.704665250513807850e-02
9.000000000000000222e-01,7.434343434343434254e+00,1.918367346938775420e+00,1.179534307712821306e+00,7.525817672793651270e-02,-1.159140978179781963e-02
1.520000000000000107e+01,1.282828282828282873e+00,4.081632653061229021e-02,-1.586110763715542493e-01,-5.421220131412584492e-02,-4.359142879259189085e-01
9.000000000000000000e+00,6.303030303030302761e+00,3.673469387755101678e-01,8.127673955212947332e-01,-3.950478617760279643e-01,-5.715209420114457373e-02
1.500000000000000000e+00,7.575757575757575246e+00,-1.428571428571428603e+00,8.708190039633136870e-01,1.709885621776857378e-01,9.350724581835482066e-03
6.300000000000000711e+00,6.020202020202019888e+00,1.755102040816326259e+00,9.319246216383210157e-01,1.914446097097804445e-01,2.618352252823244464e-02
1.830000000000000071e+01,3.404040404040403978e+00,9.387755102040813426e-01,1.089080411722273656e+00,-3.862995318439789161e-01,-1.012758308691033143e-01
1.760000000000000142e+01,2.696969696969696795e+00,-5.306122448979593287e-01,1.797690406736546509e-01,-3.565324142061303964e-02,-2.355438171907291850e-02
6.800000000000000711e+00,4.676767676767676463e+00,5.306122448979588846e-01,6.938166074947343942e-01,-3.532954563850413954e-01,-4.671729798080217350e-02
1.890000000000000213e+01,5.666666666666666075e+00,6.938775510204080454e-01,5.893691445113607985e-01,-1.524208405686374238e-03,-3.659128662163978890e-02
1.390000000000000036e+01,4.606060606060605522e+00,-2.000000000000000000e+00,9.771262902462406474e-01,-1.156487259259867534e-01,3.753345102518711868e-02
9.000000000000000222e-01,2.979797979797979668e+00,1.183673469387754640e+00,1.236594891910500538e+00,-2.525252964312083015e-01,-1.346149856518356058e-01
1.540000000000000036e+01,3.191919191919192045e+00,4.489795918367343042e-01,3.322388461423195216e-01,1.215086550322966169e-01,-5.721502527962098877e-02
1.810000000000000142e+01,4.959595959595959336e+00,-6.938775510204082675e-01,1.067422798032736431e+00,3.077628241475622306e-01,-1.886677797767061238e-01
4.600000000000000533e+00,1.494949494949494806e+00,4.081632653061229021e-02,-2.061806487078709713e-02,2.229003083466083723e-01,-4.274536786566980329e-01
2.100000000000000089e+00,5.949494949494948948e+00,1.224489795918364266e-01,6.280605978287779889e-01,-3.364306716087123728e-01,-1.200488369279616996e-01
1.580000000000000071e+01,5.313131313131313149e+00,5.306122448979588846e-01,8.904343946909625274e-01,-3.858211143046157143e-02,-2.188454683327495931e-01
1.000000000000000000e+00,7.080808080808080440e+00,7.755102040816326259e-01,9.124596393033589381e-01,4.477722745495054113e-01,-8.158062686521821982e-02
1.010000000000000142e+01,5.666666666666666075e+00,-4.081632653061229021e-02,6.958078627736311583e-01,-1.322169476943589328e-01,-1.593919138997267060e-01
4.000000000000000222e-01,5.030303030303030276e+00,1.020408163265305923e+00,6.068567329117182663e-01,-4.232934288370748810e-02,1.173075812981258341e-02
9.800000000000000711e+00,7.787878787878787179e+00,1.755102040816326259e+00,8.719765278110411799e-01,-3.663165159727987258e-02,2.404702205588658132e-02
1.200000000000000178e+00,3.969696969696969724e+00,1.673469387755101678e+00,1.017026273231149913e+00,-1.864245818711774416e-01,-2.521952210693431673e-02
1.380000000000000071e+01,7.151515151515151381e+00,-1.673469387755102122e+00,1.007982074707307385e+00,2.099693061166612584e-01,-2.577089875073664861e-03
1.000000000000000000e+00,4.464646464646464530e+00,1.755102040816326259e+00,9.340180856788408148e-01,-1.685898220908391143e-01,4.802149230455432863e-03
1.000000000000000000e+00,1.565656565656565746e+00,1.265306122448979220e+00,1.193517427266005626e+00,5.903069476179189506e-02,-9.983981973923648778e-02
4.400000000000000355e+00,3.969696969696969724e+00,5.306122448979588846e-01,5.259199443676464414e-01,3.075170930709440476e-01,-3.866279688459262759e-02
4.900000000000000355e+00,4.393939393939393590e+00,1.510204081632652962e+00,8.673097410082216685e-01,1.675358915389970615e-01,4.814806026394025801e-02
1.070000000000000107e+01,3.757575757575757347e+00,-9.387755102040817867e-01,1.221459085509996934e+00,3.169588380919085013e-01,-1.474523482396898899e-01
9.000000000000000222e-01,7.363636363636363313e+00,9.387755102040813426e-01,1.017691181816822832e+00,3.196021132722769997e-01,-1.184225540270153060e-01
1.500000000000000000e+01,2.343434343434343425e+00,1.591836734693877098e+00,9.817036467420349188e-01,-5.146396730834164324e-02,-1.388861254717398304e-02
1.260000000000000142e+01,5.525252525252525082e+00,-5.306122448979593287e-01,1.011364026817918704e+00,4.238304578923128285e-01,-1.628840813210662430e-01
1.200000000000000178e+00,4.747474747474747403e+00,-1.428571428571428603e+00,1.116006067332719454e+00,-1.500823029859588154e-01,-2.347470537103726884e-02
1.540000000000000036e+01,1.848484848484848397e+00,1.020408163265305923e+00,1.031561689812267701e+00,-2.451680157105554647e-01,-1.683671665532101847e-01
9.300000000000000711e+00,2.838383838383838231e+00,6.122448979591834650e-01,2.475983707224257702e-01,-1.651891567558949614e-01,5.930534926431815269e-03
1.190000000000000036e+01,7.858585858585858119e+00,2.857142857142855874e-01,8.782766277578248904e-01,-4.702447136866590993e-01,-9.600912407046294228e-02
2.000000000000000000e+00,5.242424242424242209e+00,-1.918367346938775420e+00,1.145091308906811323e+00,-7.418431032013220183e-02,1.794994462341997082e-02
7.500000000000000000e+00,3.686868686868686851e+00,-6.122448979591836871e-01,4.282718572483286135e-01,3.464817421423948413e-02,-2.007122513911827749e-02
1.360000000000000142e+01,3.686868686868686851e+00,6.938775510204080454e-01,1.093882893087877894e+00,-2.990836046102209878e-01,-2.111878503558464737e-01
2.200000000000000178e+00,7.363636363636363313e+00,-1.673469387755102122e+00,1.013787679378523876e+00,1.946938746830674249e-01,-1.360959643867147876e-03
1.920000000000000284e+01,5.878787878787878896e+00,-8.571428571428572063e-01,1.112462457032046714e+00,2.853379841019139662e-01,-1.628127037626659057e-01
5.600000000000000533e+00,6.373737373737373701e+00,-1.183673469387755084e+00,7.439865199129194195e-01,1.272055218265186749e-01,9.865151023607731176e-03
1.580000000000000071e+01,8.000000000000000000e+00,1.591836734693877098e+00,8.073272311444840144e-01,7.228706058049517991e-04,2.105033719968354283e-02
7.200000000000000178e+00,7.010101010101009500e+00,-1.183673469387755084e+00,9.048267954832323046e-01,2.711471693816942530e-01,-9.458211039949362617e-03
7.200000000000000178e+00,6.373737373737373701e+00,1.755102040816326259e+00,8.652768793535696723e-01,1.269853035377678241e-01,3.050353140172243349e-02
1.200000000000000000e+01,2.202020202020201989e+00,-8.571428571428572063e-01,7.690023007878711292e-01,2.050628054567649461e-01,-2.307131541970400268e-02
1.220000000000000107e+01,5.949494949494948948e+00,-4.081632653061229021e-02,8.231170630473919614e-01,4.753816966989496962e-01,-7.594809952376384288e-02
1.550000000000000000e+01,6.090909090909090828e+00,1.673469387755101678e+00,1.010408533381350393e+00,-2.021490129834438154e-01,-4.398208378946999453e-03
1.360000000000000142e+01,6.585858585858585634e+00,1.265306122448979220e+00,7.265223025404160540e-01,1.498339683415706725e-01,1.527827308769324176e-02
7.800000000000000711e+00,3.121212121212121104e+00,4.081632653061229021e-02,3.278216336731757941e-01,6.204188332646733972e-01,-1.494418589834358990e-01
6.400000000000000355e+00,4.111111111111110716e+00,5.306122448979588846e-01,7.273787648196406996e-01,-4.087510045372949596e-01,-5.222506506294308931e-02
1.320000000000000107e+01,6.020202020202019888e+00,6.938775510204080454e-01,6.581975089629281683e-01,1.553772692438500080e-01,-3.580651418617199211e-02
1.340000000000000036e+01,4.323232323232323537e+00,-2.000000000000000000e+00,1.024332601794776032e+00,-8.345997464321425197e-02,3.295337710966401989e-02
1.510000000000000142e+01,1.494949494949494806e+00,-5.306122448979593287e-01,2.350824892150156220e-01,-1.735227693985655906e-01,-1.591104709842555420e-01
1.380000000000000071e+01,3.050505050505050608e+00,-1.183673469387755084e+00,8.752114506518019477e-01,2.318897511606987927e-01,-2.427591732939946012e-02
5.200000000000000178e+00,4.535353535353534582e+00,-1.918367346938775420e+00,1.098809158831731470e+00,1.511527366869543643e-01,-1.142634655024768291e-02
1.730000000000000071e+01,7.080808080808080440e+00,-5.306122448979593287e-01,7.170886781090004547e-01,-2.434637690412528865e-01,-5.349924203020829661e-02
1.280000000000000071e+01,3.474747474747474474e+00,-1.591836734693877542e+00,9.515631278648298830e-01,-1.133646518075273474e-01,4.347981100967918122e-02
9.000000000000000222e-01,7.858585858585858119e+00,-2.040816326530614511e-01,6.584693083296203620e-01,-6.645454102544515185e-02,-1.089815077808680976e-01
9.300000000000000711e+00,7.858585858585858119e+00,4.489795918367343042e-01,7.435247585043759377e-01,2.656468656547132934e-01,-6.156359489566851084e-02
4.600000000000000533e+00,3.191919191919192045e+00,-7.755102040816328479e-01,1.044264255753854842e+00,3.121312665463411851e-02,-2.042334862885959168e-01
9.800000000000000711e+00,5.666666666666666075e+00,-1.918367346938775420e+00,8.851780446094862365e-01,-5.458497406548916409e-02,3.428606194982864591e-02
1.890000000000000213e+01,1.212121212121212155e+00,-1.755102040816326481e+00,1.174809672897213275e+00,6.844817477257129912e-02,-1.403730783462286413e-01
1.090000000000000036e+01,7.222222222222222321e+00,1.673469387755101678e+00,1.025483764672938447e+00,-1.883923897981425732e-01,-1.752698200365086952e-03
9.400000000000000355e+00,5.666666666666666075e+00,-1.020408163265306145e+00,6.763974196112706450e-01,-2.378651853625049495e-01,3.045929861767546817e-03
9.000000000000000000e+00,2.131313131313131493e+00,-1.673469387755102122e+00,1.216642389016067582e+00,7.978287807495972050e-02,-1.105809096932746927e-01
8.500000000000000000e+00,6.373737373737373701e+00,-6.122448979591836871e-01,8.867141479541715832e-01,-2.718427239152488850e-01,-1.727472152572832598e-01
1.920000000000000284e+01,2.202020202020201989e+00,7.755102040816326259e-01,5.677070184627310834e-01,1.887496968868744018e-01,-1.681914355060145153e-02
4.900000000000000355e+00,6.161616161616161769e+00,5.306122448979588846e-01,9.210203636122795690e-01,-1.147857984105412205e-01,-2.054926810908762058e-01
4.800000000000000711e+00,1.141414141414141437e+00,-1.183673469387755084e+00,1.150433730410025168e+00,1.671264256821518995e-02,-1.720059464646155611e-01
3.000000000000000444e-01,6.939393939393939448e+00,2.857142857142855874e-01,7.959176087276371714e-01,3.374977658744155451e-01,-1.645034271461857101e-01
1.990000000000000213e+01,7.858585858585858119e+00,1.918367346938775420e+00,9.932641693320809484e-01,1.975640468278432038e-01,1.437578980125851953e-02
1.330000000000000071e+01,3.545454545454545414e+00,1.102040816326530503e+00,1.217595077731780551e+00,-2.792738996113051653e-01,-1.161606928171708963e-01
9.700000000000001066e+00,4.252525252525252597e+00,-2.857142857142858094e-01,7.399256833738402372e-01,4.864633502011822541e-01,-7.466389509952624237e-02
8.900000000000000355e+00,2.979797979797979668e+00,1.673469387755101678e+00,1.038451300987589976e+00,6.271581376308682509e-02,2.069837645599677950e-02
1.790000000000000213e+01,4.464646464646464530e+00,-3.673469387755103899e-01,7.350204169378037333e-01,-1.733596501197996187e-01,-2.194198630341332168e-01
7.800000000000000711e+00,2.767676767676767291e+00,8.571428571428567622e-01,7.520225454143159016e-01,2.058806405701546216e-01,-4.429205215597283724e-02
5.500000000000000000e+00,2.767676767676767291e+00,-5.306122448979593287e-01,2.398604476740276714e-01,-2.613103759978905871e-01,-2.841960165808749342e-02
1.010000000000000142e+01,7.646464646464646187e+00,-2.040816326530614511e-01,7.947870980029647647e-01,-3.996706248577766019e-01,-1.360813594958254491e-01
1.830000000000000071e+01,2.626262626262626299e+00,2.857142857142855874e-01,5.384172059801806132e-01,8.014422472165089184e-02,-3.214311794465756211e-01
1.100000000000000089e+00,1.141414141414141437e+00,1.224489795918364266e-01,-2.110698748615395526e-01,-2.708723826950176772e-01,-3.602136268943846309e-01
3.800000000000000266e+00,1.494949494949494806e+00,-6.938775510204082675e-01,4.209197096262101145e-01,-1.993895035133752894e-02,-9.932529911248755283e-02
1.619999999999999929e+01,7.575757575757575246e+00,-1.510204081632652962e+00,1.050776706576567854e+00,-2.617394198397273164e-01,-2.393486262439062720e-02
4.700000000000000178e+00,6.515151515151514694e+00,6.938775510204080454e-01,1.002209128450894715e+00,-4.520145980832598331e-01,-1.117426278064666267e-01
9.800000000000000711e+00,4.464646464646464530e+00,9.387755102040813426e-01,8.011440625090130441e-01,3.961769571762878694e-01,-5.316216492432077750e-02
1.070000000000000107e+01,3.898989898989898784e+00,7.755102040816326259e-01,4.931235879246765874e-01,-6.117540129271321903e-02,8.015816397739539481e-03
6.500000000000000000e+00,1.919191919191919116e+00,1.183673469387754640e+00,1.252718993579748696e+00,8.035854318541466035e-03,-1.434194956536745669e-01
1.970000000000000284e+01,3.191919191919192045e+00,1.183673469387754640e+00,1.245173849838878688e+00,-8.974929486047864696e-03,-8.964182372098804252e-02
3.900000000000000355e+00,6.232323232323231821e+00,6.938775510204080454e-01,9.563433140513707409e-01,-3.823189049777411253e-01,-6.289044847702246477e-02
1.050000000000000000e+01,2.272727272727272485e+00,-4.489795918367347483e-01,2.551028265416213636e-03,-3.159757095559556084e-01,-8.434791898817108058e-02
1.590000000000000036e+01,4.676767676767676463e+00,1.673469387755101678e+00,1.184770990361595722e+00,9.618825715846197888e-02,-3.236019253795996940e-03
1.700000000000000178e+00,2.202020202020201989e+00,-4.489795918367347483e-01,8.281241817121867133e-01,5.300513462149792909e-01,-3.431994413536757493e-01
9.200000000000001066e+00,2.131313131313131493e+00,2.040816326530610070e-01,6.004609266865092859e-02,-5.877264654282806644e-01,-2.172719402633445374e-01
1.200000000000000000e+01,4.252525252525252597e+00,6.122448979591834650e-01,6.204317983159480798e-01,-3.177856039765929452e-01,-3.462699603757810746e-02
2.000000000000000000e+00,2.202020202020201989e+00,-4.489795918367347483e-01,8.508916823974775889e-01,4.606639196731676100e-01,-3.918208942474984968e-01
1.120000000000000107e+01,4.181818181818181657e+00,-8.571428571428572063e-01,1.174836796867563482e+00,3.360936026563475787e-01,-1.538751022200763874e-01
1.730000000000000071e+01,2.555555555555555358e+00,-1.102040816326530726e+00,8.602625288943892556e-01,-8.679107632718380261e-02,5.317075789363610167e-02
1.470000000000000107e+01,1.848484848484848397e+00,-1.673469387755102122e+00,1.206356681848298473e+00,7.175157657810425638e-02,-1.196036522367473487e-01
4.000000000000000222e-01,7.080808080808080440e+00,2.000000000000000000e+00,1.205651591396650790e+00,2.256258173337100104e-02,-5.919642641594402739e-03
1.480000000000000071e+01,2.060606060606060552e+00,1.020408163265305923e+00,9.175847408140795913e-01,-1.661254287330064250e-01,-3.971099927463974527e-02
9.800000000000000711e+00,6.797979797979797567e+00,1.183673469387754640e+00,8.606642529793815388e-01,-2.512638265553391870e-01,-6.885275187906151305e-03
1.850000000000000000e+01,2.838383838383838231e+00,7.755102040816326259e-01,1.150415299894362198e+00,-2.473200045339701003e-01,-2.512028500203415393e-01
8.300000000000000711e+00,5.242424242424242209e+00,8.571428571428567622e-01,9.101452599381064656e-01,-3.489123178097664479e-01,-3.266442996964535883e-02
1.120000000000000107e+01,3.050505050505050608e+00,-9.387755102040817867e-01,7.812495418732957608e-01,-2.425857439472807187e-01,-1.509588973471624913e-02
2.900000000000000355e+00,6.444444444444444642e+00,-1.265306122448979664e+00,1.091893089317380827e+00,-2.571530096095929196e-01,-6.423119349777933751e-02
1.260000000000000142e+01,4.959595959595959336e+00,-7.755102040816328479e-01,1.023092151500751168e+00,-1.655658750309674243e-02,-1.922302163352885562e-01
1.250000000000000000e+01,4.111111111111110716e+00,9.387755102040813426e-01,8.558868955409022483e-01,-2.906771132482472431e-01,-2.868972977685607662e-02
1.280000000000000071e+01,1.636363636363636243e+00,-5.306122448979593287e-01,8.492082065239336952e-01,3.670527440853456613e-01,-4.744971964980084778e-01
2.900000000000000355e+00,1.494949494949494806e+00,-9.387755102040817867e-01,1.147149120701326019e+00,-6.343717797544676240e-02,-2.105745999729551343e-01
1.669999999999999929e+01,3.404040404040403978e+00,9.387755102040813426e-01,7.041872510966760146e-01,-1.951320884546728640e-01,6.947454214113602325e-03
3.600000000000000089e+00,5.101010101010101216e+00,8.571428571428567622e-01,1.169580918386355473e+00,-2.684511416892927382e-01,-1.690969608388654954e-01
1.790000000000000213e+01,1.212121212121212155e+00,4.081632653061229021e-02,-2.124558698093070574e-01,9.592383830664337474e-02,-3.730522184113843620e-01
1.840000000000000213e+01,6.656565656565656575e+00,1.346938775510203801e+00,9.464301204757259445e-01,3.323009002710077819e-01,-1.604556770482944150e-02
4.299999999999999822e+00,5.525252525252525082e+00,1.673469387755101678e+00,1.223461023286661176e+00,-9.499175710129117989e-02,-3.054071779522359378e-02
7.900000000000000355e+00,7.787878787878787179e+00,-1.224489795918368706e-01,8.151041882601619548e-01,4.337910577157361725e-01,-6.858637128151934270e-02
1.060000000000000142e+01,1.989898989898989834e+00,4.081632653061229021e-02,1.662119238677302047e-01,-2.102563556980020232e-01,-4.160117186116312205e-01
9.400000000000000355e+00,5.101010101010101216e+00,1.346938775510203801e+00,1.209661815475480129e+00,-2.443896263500341948e-01,-6.372864527151587966e-02
7.900000000000000355e+00,2.767676767676767291e+00,4.489795918367343042e-01,2.248978841134516016e-01,4.736693703308826331e-01,-8.208642921558016725e-02
1.650000000000000000e+01,1.424242424242424310e+00,-1.836734693877551061e+00,1.124322173974943606e+00,-3.071009371385749823e-02,-8.042000491473298707e-02
4.700000000000000178e+00,6.090909090909090828e+00,2.857142857142855874e-01,8.270451108645222593e-01,-1.696569184477675629e-01,-1.945726727407160461e-01
8.800000000000000711e+00,6.515151515151514694e+00,3.673469387755101678e-01,6.752157554768047909e-01,-3.641878526030725149e-01,-7.103175323674451591e-02
8.099999999999999645e+00,4.676767676767676463e+00,-1.020408163265306145e+00,6.362877357465359651e-01,-2.387818262582989681e-01,2.001366958063200210e-02
7.000000000000000666e-01,5.313131313131313149e+00,-1.224489795918368706e-01,7.690310578952944676e-01,2.506497981726468205e-01,-1.818884164075881826e-01
1.500000000000000000e+01,6.444444444444444642e+00,1.755102040816326259e+00,8.942564802864357842e-01,-1.174157169148591640e-01,1.720799482075052733e-02
1.780000000000000071e+01,5.313131313131313149e+00,5.306122448979588846e-01,7.176578687121754063e-01,4.094593973021263267e-01,-4.836273909647452462e-02
8.099999999999999645e+00,7.858585858585858119e+00,1.102040816326530503e+00,9.359403710735469950e-01,3.610278066254478668e-01,-2.991787575281568828e-02
0.000000000000000000e+00,2.131313131313131493e+00,5.306122448979588846e-01,8.172999554875165495e-01,-2.587425596626948682e-02,-3.737026087970125587e-01
8.800000000000000711e+00,1.353535353535353591e+00,1.755102040816326259e+00,1.107654184337172998e+00,-3.505480494605271724e-02,-1.133866678536558092e-01
1.790000000000000213e+01,1.494949494949494806e+00,1.755102040816326259e+00,1.198993050739940003e+00,5.670863612604886035e-03,-1.073055865591046737e-01
1.470000000000000107e+01,4.323232323232323537e+00,1.346938775510203801e+00,1.266811129874924502e+00,-1.468419372976971782e-01,-7.108519261795080701e-02
1.100000000000000000e+01,5.737373737373737015e+00,-1.183673469387755084e+00,7.884432334792863539e-01,2.081862365377224744e-01,7.775789904775102027e-03
1.600000000000000089e+00,2.272727272727272485e+00,-9.387755102040817867e-01,1.047578973557189652e+00,3.495615407091015037e-01,-1.639029075729511731e-01
1.080000000000000071e+01,7.646464646464646187e+00,1.836734693877550839e+00,9.455119193864186533e-01,-1.637129741012997020e-01,1.403180155078183333e-02
5.800000000000000711e+00,1.141414141414141437e+00,-3.673469387755103899e-01,2.358411792844996580e-01,1.570891910354671739e-01,-5.010129557968248104e-01
1.740000000000000213e+01,2.626262626262626299e+00,-1.836734693877551061e+00,1.078383016121751803e+00,-3.608220009660193656e-02,-3.592408543399404526e-03
2.200000000000000178e+00,5.313131313131313149e+00,-1.755102040816326481e+00,1.074040144095459670e+00,-1.652751403815237441e-01,1.974249597179497662e-02
1.380000000000000071e+01,1.707070707070707183e+00,4.081632653061229021e-02,-1.062889622400532419e-01,-2.716506554133754636e-01,-3.813002364573233605e-01
1.080000000000000071e+01,1.000000000000000000e+00,-2.000000000000000000e+00,1.099852096159980475e+00,-3.715135005287861086e-02,-9.234041865560213558e-02
5.100000000000000533e+00,4.040404040404039776e+00,4.081632653061229021e-02,5.811977238739555185e-01,1.129154116975925187e-01,-1.822831058113892344e-01
2.500000000000000000e+00,6.727272727272726627e+00,-1.755102040816326481e+00,1.182552730617794978e+00,1.252795463534372711e-01,-2.225672942895544001e-02
6.000000000000000000e+00,6.303030303030302761e+00,-1.836734693877551061e+00,9.129755076827655857e-01,1.077152655938164311e-01,1.825078728569396250e-02
2.700000000000000178e+00,1.141414141414141437e+00,-1.102040816326530726e+00,1.279446895400776496e+00,-6.124014850842979252e-02,-1.896120497316799436e-01
5.800000000000000711e+00,6.444444444444444642e+00,1.183673469387754640e+00,1.058427488181888698e+00,2.528910314801860459e-01,-8.067639796086076287e-02
1.340000000000000036e+01,5.525252525252525082e+00,2.857142857142855874e-01,6.080252041525269213e-01,-3.321142036126847330e-01,-9.473611597252112881e-02
1.100000000000000000e+01,5.313131313131313149e+00,-9.387755102040817867e-01,8.578084589157182194e-01,2.797814159185409433e-01,-1.630395818938526475e-02
1.940000000000000213e+01,2.343434343434343425e+00,1.836734693877550839e+00,1.139657330668465640e+00,2.919000415784129762e-02,-4.546375194185753310e-02
3.400000000000000355e+00,2.131313131313131493e+00,1.102040816326530503e+00,9.331274099238221487e-01,-1.554571923788779231e-01,-6.082368156220210181e-02
1.000000000000000056e-01,6.656565656565656575e+00,-1.510204081632652962e+00,8.216470033133745909e-01,9.911283845450093166e-02,1.900848764222384801e-02
2.300000000000000266e+00,5.242424242424242209e+00,9.387755102040813426e-01,8.941693044869534202e-01,-3.345971433104837356e-01,-2.388276643583698081e-02
8.800000000000000711e+00,3.828282828282828287e+00,4.489795918367343042e-01,5.630348170575012468e-01,5.359327636986127574e-01,-1.327661078169250219e-01
1.160000000000000142e+01,6.797979797979797567e+00,1.591836734693877098e+00,1.259907961272475285e+00,-1.309758340107405605e-01,-4.543472188304767401e-02
1.860000000000000142e+01,2.272727272727272485e+00,1.673469387755101678e+00,1.238394044568454033e+00,-2.336694080145634150e-02,-8.915953546265267815e-02
